customer_key,customer_id,full_name,email,primera_compra,ultima_compra,fecha_referencia,numero_compras,unidades_compradas,unidades_devueltas,ingresos_brutos,importe_devuelto,ingresos_netos,margen_neto_estimado,ticket_medio,antiguedad_dias,recencia_dias,frecuencia_mensual,frecuencia_anual,tasa_devolucion_importe,tasa_devolucion_unidades,margen_neto_pct,cltv_historico_ingresos,cltv_historico_margen,cltv_estimado_12m_ingresos,cltv_estimado_12m_margen,lineas_coste_imputado,churn_risk_score,churn_risk_level,recommended_action,r_score,f_score,m_score,rfm_score,rfm_code,segmento_rfm
5748,5750,Eneko Bermúdez Caparrós,eneko.bermúdez_2998@example.com,2025-09-08,2025-09-08,2025-12-30,1,1,0,139.99,0.00,139.99,56.00,139.99,113,113,0.2694,1.0000,0.0000,0.0000,0.4000,139.99,56.00,452.49,181.01,0,29,Bajo,Mantener seguimiento comercial,4,3,3,10,433,Clientes fieles recientes
5749,5751,Hélder Andrade Carrillo,hélder.andrade_2999@example.com,2023-07-02,2023-07-02,2025-12-30,1,3,0,1199.97,0.00,1199.97,480.00,1199.97,912,912,0.0334,0.4005,0.0000,0.0000,0.4000,1199.97,480.00,480.58,192.24,0,75,Critico,Recuperacion prioritaria de alto valor,2,5,5,12,255,Valiosos en riesgo
5750,5752,Ernesto Castell Becerra,ernesto.castell_3000@example.com,2024-12-12,2024-12-12,2025-12-30,1,1,0,249.99,0.00,249.99,100.00,249.99,383,383,0.0795,0.9537,0.0000,0.0000,0.4000,249.99,100.00,238.40,95.37,0,60,Alto,Campana de reactivacion personalizada,3,4,4,11,344,Alto valor
1,1,Marta Ruiz García,marta.ruiz1@example.com,2020-06-29,2025-10-01,2025-12-30,22,103,2,11732.55,229.89,11502.66,4596.52,533.30,2010,90,0.3331,3.9978,0.0196,0.0194,0.3996,11502.66,4596.52,2132.00,835.26,0,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
2,2,Alejandro López López,alejandro.lópez2@example.com,2020-03-02,2025-10-30,2025-12-30,24,122,6,12744.26,314.67,12429.59,4972.20,531.01,2129,61,0.3431,4.1174,0.0247,0.0492,0.4000,12429.59,4972.20,2186.40,853.03,0,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
3,3,Alejandro López Álvarez,alejandro.lópez3@example.com,2020-08-17,2025-11-07,2025-12-30,24,143,5,19862.51,445.95,19416.56,7767.04,827.60,1961,53,0.3725,4.4702,0.0225,0.0350,0.4000,19416.56,7767.04,3699.53,1446.67,1,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
4,4,Javier Ruiz Fernández,javier.ruiz4@example.com,2020-04-19,2025-12-12,2025-12-30,10,61,2,8203.76,209.98,7993.78,3197.72,820.38,2081,18,0.1463,1.7552,0.0256,0.0328,0.4000,7993.78,3197.72,1439.90,561.25,1,32,Bajo,Mantener seguimiento comercial,5,5,5,15,555,Clientes estrella
5,5,David Gómez Pérez,david.gómez5@example.com,2020-03-17,2025-12-07,2025-12-30,22,108,4,10938.05,359.87,10578.18,4231.52,497.18,2114,23,0.3168,3.8011,0.0329,0.0370,0.4000,10578.18,4231.52,1889.84,731.11,1,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
6,6,Javier García Sánchez,javier.garcía6@example.com,2020-04-19,2025-12-12,2025-12-30,20,93,3,12239.64,469.88,11769.76,4708.16,611.98,2081,18,0.2925,3.5103,0.0384,0.0323,0.4000,11769.76,4708.16,2148.26,826.36,1,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
7,7,Ana García Fernández,ana.garcía7@example.com,2020-01-23,2025-12-05,2025-12-30,17,87,1,8226.70,34.99,8191.71,3276.92,483.92,2168,25,0.2387,2.8640,0.0043,0.0115,0.4000,8191.71,3276.92,1385.98,552.07,0,23,Bajo,Mantener seguimiento comercial,5,5,5,15,555,Clientes estrella
8,8,Ana Ruiz Díaz,ana.ruiz8@example.com,2020-03-20,2025-08-01,2025-12-30,18,104,1,11132.63,99.90,11032.73,4413.36,618.48,2111,151,0.2595,3.1144,0.0090,0.0096,0.4000,11032.73,4413.36,1926.19,763.61,0,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
9,9,Alejandro García Álvarez,alejandro.garcía9@example.com,2020-10-28,2025-12-27,2025-12-30,14,71,1,9479.85,69.99,9409.86,3764.16,677.13,1889,3,0.2256,2.7070,0.0074,0.0141,0.4000,9409.86,3764.16,1832.99,727.82,2,23,Bajo,Mantener seguimiento comercial,5,5,5,15,555,Clientes estrella
10,10,Marta Díaz Sánchez,marta.díaz10@example.com,2020-01-16,2025-12-04,2025-12-30,20,83,3,9605.20,255.88,9349.32,3739.92,480.26,2175,26,0.2799,3.3586,0.0266,0.0361,0.4000,9349.32,3739.92,1613.01,628.05,0,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
11,11,Javier López García,javier.lópez11@example.com,2020-01-15,2025-12-16,2025-12-30,17,71,2,9557.40,309.98,9247.42,3699.16,562.20,2176,14,0.2378,2.8535,0.0324,0.0282,0.4000,9247.42,3699.16,1604.25,620.92,0,23,Bajo,Mantener seguimiento comercial,5,5,5,15,555,Clientes estrella
12,12,Sergio Álvarez Martínez,sergio.álvarez12@example.com,2020-05-10,2025-07-21,2025-12-30,19,122,4,13792.99,425.87,13367.12,5347.20,725.95,2060,162,0.2807,3.3688,0.0309,0.0328,0.4000,13367.12,5347.20,2445.58,948.09,0,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
13,13,María García Álvarez,maría.garcía13@example.com,2020-06-24,2025-11-25,2025-12-30,17,87,1,10223.87,39.99,10183.88,4073.84,601.40,2015,35,0.2568,3.0815,0.0039,0.0115,0.4000,10183.88,4073.84,1853.23,738.45,0,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
14,14,Ana Martínez Fernández,ana.martínez14@example.com,2020-01-26,2025-11-29,2025-12-30,22,116,0,19501.69,0.00,19501.69,7801.00,886.44,2165,31,0.3093,3.7115,0.0000,0.0000,0.4000,19501.69,7801.00,3290.07,1316.08,1,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
15,15,Alejandro Díaz Álvarez,alejandro.díaz15@example.com,2020-05-28,2025-07-02,2025-12-30,10,32,0,3858.51,0.00,3858.51,1543.48,385.85,2042,181,0.1491,1.7887,0.0000,0.0000,0.4000,3858.51,1543.48,690.17,276.08,0,57,Alto,Campana de reactivacion personalizada,4,5,5,14,455,Clientes estrella
16,16,Alejandro Pérez Gómez,alejandro.pérez16@example.com,2020-05-09,2025-12-11,2025-12-30,17,88,4,10076.33,449.78,9626.55,3850.84,592.73,2061,19,0.2511,3.0127,0.0446,0.0455,0.4000,9626.55,3850.84,1785.73,682.45,0,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
17,17,Marta Martínez García,marta.martínez17@example.com,2020-02-08,2025-11-05,2025-12-30,19,76,4,13182.98,259.87,12923.11,5169.48,693.84,2152,55,0.2687,3.2248,0.0197,0.0526,0.4000,12923.11,5169.48,2237.49,877.39,0,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
18,18,Ana Ruiz Gómez,ana.ruiz18@example.com,2020-01-08,2025-08-02,2025-12-30,20,97,0,11084.23,0.00,11084.23,4434.00,554.21,2183,150,0.2789,3.3463,0.0000,0.0000,0.4000,11084.23,4434.00,1854.56,741.88,3,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
19,19,Alejandro Gómez Álvarez,alejandro.gómez19@example.com,2020-01-16,2025-12-08,2025-12-30,24,124,4,14318.16,485.96,13832.20,5533.20,596.59,2175,22,0.3359,4.0303,0.0339,0.0323,0.4000,13832.20,5533.20,2404.46,929.20,4,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
20,20,Lucía Pérez Gómez,lucía.pérez20@example.com,2020-08-29,2025-12-13,2025-12-30,18,109,4,12351.50,504.96,11846.54,4738.84,686.19,1949,17,0.2811,3.3733,0.0409,0.0367,0.4000,11846.54,4738.84,2314.72,888.08,0,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
21,21,Sergio Díaz Sánchez,sergio.díaz21@example.com,2020-02-15,2025-08-16,2025-12-30,25,107,1,11150.97,89.99,11060.98,4424.64,446.04,2145,136,0.3547,4.2570,0.0081,0.0093,0.4000,11060.98,4424.64,1898.78,753.43,2,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
22,22,Sergio García Pérez,sergio.garcía22@example.com,2020-01-14,2025-08-27,2025-12-30,20,113,6,12849.00,599.76,12249.24,4899.96,642.45,2177,125,0.2796,3.3555,0.0467,0.0531,0.4000,12249.24,4899.96,2155.76,822.10,1,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
23,23,Sergio Díaz Díaz,sergio.díaz23@example.com,2020-03-24,2025-07-11,2025-12-30,26,99,3,12712.12,334.97,12377.15,4951.16,488.93,2107,172,0.3756,4.5071,0.0264,0.0303,0.4000,12377.15,4951.16,2203.66,858.29,2,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
24,24,Marta López Fernández,marta.lópez24@example.com,2020-02-06,2025-02-23,2025-12-30,21,90,1,9737.40,149.99,9587.41,3835.20,463.69,2154,310,0.2967,3.5609,0.0154,0.0111,0.4000,9587.41,3835.20,1651.15,650.33,1,48,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
25,25,Ana Ruiz Martínez,ana.ruiz25@example.com,2020-04-09,2025-09-05,2025-12-30,27,130,3,17297.28,604.88,16692.40,6677.32,640.64,2091,116,0.3930,4.7163,0.0350,0.0231,0.4000,16692.40,6677.32,3021.44,1166.38,1,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
26,26,María Álvarez Sánchez,maría.álvarez26@example.com,2020-01-08,2025-12-18,2025-12-30,28,153,4,19362.69,304.87,19057.82,7623.56,691.52,2183,12,0.3904,4.6848,0.0157,0.0261,0.4000,19057.82,7623.56,3239.68,1275.54,2,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
27,27,David Fernández Ruiz,david.fernández27@example.com,2020-05-03,2025-10-04,2025-12-30,21,118,2,15178.39,179.98,14998.41,5999.72,722.78,2067,87,0.3092,3.7108,0.0119,0.0169,0.4000,14998.41,5999.72,2682.10,1060.18,1,23,Bajo,Fidelizacion y venta cruzada,4,5,5,14,455,Clientes estrella
28,28,Sergio Díaz Díaz,sergio.díaz28@example.com,2020-05-18,2025-01-27,2025-12-30,17,59,1,5624.97,139.99,5484.98,2194.16,330.88,2052,337,0.2522,3.0260,0.0249,0.0169,0.4000,5484.98,2194.16,1001.23,390.55,1,48,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
29,29,Marta López Fernández,marta.lópez29@example.com,2020-01-08,2025-12-25,2025-12-30,15,67,6,6198.53,779.85,5418.68,2167.64,413.24,2183,5,0.2091,2.5097,0.1258,0.0896,0.4000,5418.68,2167.64,1037.11,362.68,0,23,Bajo,Mantener seguimiento comercial,5,5,5,15,555,Clientes estrella
30,30,Sergio Sánchez García,sergio.sánchez30@example.com,2020-09-21,2025-01-31,2025-12-30,19,87,1,9968.79,139.99,9828.80,3931.76,524.67,1926,333,0.3003,3.6032,0.0140,0.0115,0.4000,9828.80,3931.76,1890.50,745.63,1,48,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
31,31,Alejandro Ruiz Díaz,alejandro.ruiz31@example.com,2020-04-15,2025-12-19,2025-12-30,27,129,3,14877.65,559.97,14317.68,5727.44,551.02,2085,11,0.3942,4.7299,0.0376,0.0233,0.4000,14317.68,5727.44,2606.26,1003.33,1,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
32,32,Laura López Gómez,laura.lópez32@example.com,2020-03-12,2025-12-17,2025-12-30,29,135,5,13250.05,389.77,12860.28,5144.48,456.90,2119,13,0.4166,4.9987,0.0294,0.0370,0.4000,12860.28,5144.48,2283.90,886.75,0,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
33,33,Javier Fernández López,javier.fernández33@example.com,2020-03-14,2025-12-06,2025-12-30,15,77,0,8574.25,0.00,8574.25,3429.92,571.62,2117,24,0.2157,2.5880,0.0000,0.0000,0.4000,8574.25,3429.92,1479.33,591.77,1,23,Bajo,Mantener seguimiento comercial,5,5,5,15,555,Clientes estrella
34,34,Carlos Sánchez Fernández,carlos.sánchez34@example.com,2020-02-10,2025-09-16,2025-12-30,28,126,3,15273.41,129.97,15143.44,6057.72,545.48,2150,105,0.3964,4.7567,0.0085,0.0238,0.4000,15143.44,6057.72,2594.70,1029.11,0,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
35,35,Alejandro Gómez Ruiz,alejandro.gómez35@example.com,2021-01-04,2025-11-06,2025-12-30,22,118,2,14846.49,249.98,14596.51,5838.92,674.84,1821,54,0.3677,4.4127,0.0168,0.0169,0.4000,14596.51,5838.92,2977.86,1171.15,1,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
36,36,Javier Sánchez García,javier.sánchez36@example.com,2020-04-13,2025-08-24,2025-12-30,18,85,6,10650.35,1269.85,9380.50,3752.44,591.69,2087,128,0.2625,3.1502,0.1192,0.0706,0.4000,9380.50,3752.44,1863.94,656.72,1,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
37,37,David Álvarez Álvarez,david.álvarez37@example.com,2020-01-11,2025-12-01,2025-12-30,18,89,2,11391.95,379.89,11012.06,4405.08,632.89,2180,29,0.2513,3.0158,0.0333,0.0225,0.4000,11012.06,4405.08,1908.67,738.05,2,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
38,38,Ana Álvarez Ruiz,ana.álvarez38@example.com,2020-01-23,2025-06-11,2025-12-30,20,80,2,9352.49,249.98,9102.51,3641.24,467.62,2168,202,0.2808,3.3695,0.0267,0.0250,0.4000,9102.51,3641.24,1575.64,613.45,0,48,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
39,39,Ana Pérez Gómez,ana.pérez39@example.com,2020-03-12,2025-04-14,2025-12-30,12,53,0,4988.31,0.00,4988.31,1995.44,415.69,2119,260,0.1724,2.0684,0.0000,0.0000,0.4000,4988.31,1995.44,859.83,343.95,0,48,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
40,40,Javier Gómez García,javier.gómez40@example.com,2020-02-18,2025-10-30,2025-12-30,15,67,1,7992.71,59.99,7932.72,3173.28,532.85,2142,61,0.2131,2.5578,0.0075,0.0149,0.4000,7932.72,3173.28,1362.90,541.10,1,23,Bajo,Mantener seguimiento comercial,5,5,5,15,555,Clientes estrella
41,41,Laura Fernández Álvarez,laura.fernández41@example.com,2020-10-03,2024-01-26,2025-12-30,14,69,1,6872.06,24.90,6847.16,2739.04,490.86,1914,704,0.2226,2.6716,0.0036,0.0145,0.4000,6847.16,2739.04,1311.40,522.69,2,58,Alto,Campana de reactivacion personalizada,3,5,5,13,355,Alto valor
42,42,Sergio Díaz López,sergio.díaz42@example.com,2020-07-26,2025-12-21,2025-12-30,25,118,3,11025.40,284.97,10740.43,4296.48,441.02,1983,9,0.3837,4.6048,0.0258,0.0254,0.4000,10740.43,4296.48,2030.78,791.37,3,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
43,43,Sergio Ruiz García,sergio.ruiz43@example.com,2020-05-18,2025-11-17,2025-12-30,25,113,3,12014.81,409.79,11605.02,4642.32,480.59,2052,43,0.3708,4.4499,0.0341,0.0265,0.4000,11605.02,4642.32,2138.60,826.32,0,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
44,44,Carlos Pérez Ruiz,carlos.pérez44@example.com,2020-02-29,2025-07-21,2025-12-30,24,133,2,15183.98,239.89,14944.09,5978.00,632.67,2131,162,0.3428,4.1136,0.0158,0.0150,0.4000,14944.09,5978.00,2602.51,1024.62,2,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
45,45,Laura García Sánchez,laura.garcía45@example.com,2020-06-06,2025-11-25,2025-12-30,21,90,0,11597.57,0.00,11597.57,4639.32,552.27,2033,35,0.3144,3.7729,0.0000,0.0000,0.4000,11597.57,4639.32,2083.63,833.50,5,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
46,46,Alejandro Ruiz Ruiz,alejandro.ruiz46@example.com,2020-03-07,2025-12-29,2025-12-30,20,104,3,15456.71,384.97,15071.74,6029.00,772.84,2124,1,0.2866,3.4393,0.0249,0.0288,0.4000,15071.74,6029.00,2657.99,1036.77,0,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
47,47,Javier Sánchez García,javier.sánchez47@example.com,2020-02-19,2025-11-24,2025-12-30,21,102,2,13660.65,89.98,13570.67,5428.52,650.51,2141,36,0.2985,3.5826,0.0066,0.0196,0.4000,13570.67,5428.52,2330.48,926.09,1,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
48,48,Marta Fernández Pérez,marta.fernández48@example.com,2020-04-29,2025-03-08,2025-12-30,19,93,3,9006.55,359.97,8646.58,3458.88,474.03,2071,297,0.2792,3.3509,0.0400,0.0323,0.4000,8646.58,3458.88,1588.43,610.02,0,48,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
49,49,Carlos Sánchez Fernández,carlos.sánchez49@example.com,2020-01-12,2025-06-30,2025-12-30,21,107,1,12591.14,24.90,12566.24,5026.80,599.58,2179,183,0.2933,3.5201,0.0020,0.0093,0.4000,12566.24,5026.80,2110.56,842.61,0,48,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
50,50,Marta Ruiz García,marta.ruiz50@example.com,2020-05-14,2025-09-12,2025-12-30,18,107,6,12404.68,364.58,12040.10,4816.36,689.15,2056,109,0.2665,3.1977,0.0294,0.0561,0.4000,12040.10,4816.36,2203.70,855.63,0,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
51,51,Carlos Fernández Álvarez,carlos.fernández51@example.com,2020-02-17,2025-09-25,2025-12-30,18,80,5,8838.49,704.77,8133.72,3253.72,491.03,2143,96,0.2557,3.0679,0.0797,0.0625,0.4000,8133.72,3253.72,1506.42,554.56,2,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
52,52,Alejandro Fernández Díaz,alejandro.fernández52@example.com,2020-10-22,2025-10-20,2025-12-30,16,70,1,11107.13,299.99,10807.14,4323.08,694.20,1895,71,0.2570,3.0839,0.0270,0.0143,0.4000,10807.14,4323.08,2140.83,833.25,2,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
53,53,Alejandro Fernández Martínez,alejandro.fernández53@example.com,2020-03-05,2025-05-26,2025-12-30,26,126,3,17803.50,569.88,17233.62,6893.80,684.75,2126,218,0.3722,4.4668,0.0320,0.0238,0.4000,17233.62,6893.80,3058.67,1184.37,1,48,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
54,54,Carlos Martínez Ruiz,carlos.martínez54@example.com,2020-03-20,2025-05-25,2025-12-30,14,63,3,5658.75,139.79,5518.96,2207.76,404.20,2111,219,0.2019,2.4223,0.0247,0.0476,0.4000,5518.96,2207.76,979.09,381.99,1,48,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
55,55,Laura Fernández Ruiz,laura.fernández55@example.com,2020-01-09,2025-07-13,2025-12-30,13,79,3,9281.60,409.88,8871.72,3548.88,713.97,2182,170,0.1813,2.1761,0.0442,0.0380,0.4000,8871.72,3548.88,1553.67,594.06,1,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
56,56,Sergio Martínez García,sergio.martínez56@example.com,2020-07-13,2025-10-23,2025-12-30,19,110,1,11069.29,69.99,10999.30,4400.04,582.59,1996,68,0.2897,3.4768,0.0063,0.0091,0.4000,10999.30,4400.04,2025.58,805.17,1,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
57,57,Laura Sánchez Gómez,laura.sánchez57@example.com,2020-04-28,2025-05-18,2025-12-30,23,107,5,12541.95,575.77,11966.18,4786.80,545.30,2072,226,0.3379,4.0544,0.0459,0.0467,0.4000,11966.18,4786.80,2210.88,843.81,2,48,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
58,58,Sergio Martínez Sánchez,sergio.martínez58@example.com,2020-02-09,2025-10-12,2025-12-30,28,123,5,13535.08,299.68,13235.40,5294.48,483.40,2151,79,0.3962,4.7545,0.0221,0.0407,0.4000,13235.40,5294.48,2298.32,899.03,2,23,Bajo,Fidelizacion y venta cruzada,4,5,5,14,455,Clientes estrella
59,59,Ana Pérez Pérez,ana.pérez59@example.com,2020-03-09,2025-05-11,2025-12-30,21,123,2,13618.07,125.98,13492.09,5397.20,648.48,2122,233,0.3012,3.6146,0.0093,0.0163,0.4000,13492.09,5397.20,2344.02,928.99,2,48,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
60,60,David Pérez López,david.pérez60@example.com,2020-04-07,2025-12-28,2025-12-30,22,92,2,10651.92,269.98,10381.94,4153.04,484.18,2093,2,0.3199,3.8392,0.0253,0.0217,0.4000,10381.94,4153.04,1858.87,724.75,0,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
61,61,Sergio Pérez Sánchez,sergio.pérez61@example.com,2020-03-22,2025-10-10,2025-12-30,15,69,3,10257.97,289.70,9968.27,3987.48,683.86,2109,81,0.2165,2.5978,0.0282,0.0435,0.4000,9968.27,3987.48,1776.54,690.58,0,23,Bajo,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
62,62,María Álvarez Sánchez,maría.álvarez62@example.com,2020-01-21,2025-12-14,2025-12-30,21,82,2,10108.66,319.98,9788.68,3915.68,481.36,2170,16,0.2946,3.5347,0.0317,0.0244,0.4000,9788.68,3915.68,1701.47,659.08,2,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
63,63,Laura Ruiz Ruiz,laura.ruiz63@example.com,2021-02-10,2025-12-09,2025-12-30,22,114,1,12540.35,69.99,12470.36,4988.44,570.02,1784,21,0.3754,4.5042,0.0056,0.0088,0.4000,12470.36,4988.44,2567.47,1021.32,1,23,Bajo,Fidelizacion y venta cruzada,5,5,5,15,555,Clientes estrella
64,64,Lucía Fernández Díaz,lucía.fernández64@example.com,2020-06-08,2025-08-23,2025-12-30,22,117,4,12538.23,305.87,12232.36,4893.24,569.92,2031,129,0.3297,3.9564,0.0244,0.0342,0.4000,12232.36,4893.24,2254.84,879.99,1,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
65,65,Carlos Fernández Álvarez,carlos.fernández65@example.com,2020-02-29,2024-09-06,2025-12-30,19,103,1,13307.54,119.90,13187.64,5275.36,700.40,2131,480,0.2714,3.2566,0.0090,0.0097,0.4000,13187.64,5275.36,2280.89,904.19,2,58,Alto,Campana de reactivacion personalizada,3,5,5,13,355,Alto valor
66,66,Laura López López,laura.lópez66@example.com,2020-04-24,2025-09-19,2025-12-30,15,78,3,9351.07,779.97,8571.10,3428.60,623.40,2076,102,0.2199,2.6391,0.0834,0.0385,0.4000,8571.10,3428.60,1645.22,603.23,0,36,Medio,Mantener seguimiento comercial,4,5,5,14,455,Clientes estrella
